iter	Passed	Remaining
0	136	136549
1	138	68926
2	139	46326
3	140	35007
4	141	28216
5	142	23685
6	144	20447
7	145	18026
8	146	16143
9	147	14647
10	149	13409
11	150	12377
12	151	11503
13	152	10753
14	153	10104
15	155	9537
16	156	9031
17	157	8582
18	158	8180
19	159	7820
20	160	7496
21	161	7200
22	163	6928
23	164	6678
24	165	6448
25	166	6235
26	168	6066
27	169	5883
28	170	5712
29	171	5553
30	172	5407
31	174	5274
32	175	5146
33	176	5021
34	177	4904
35	178	4792
36	180	4688
37	181	4596
38	182	4503
39	183	4413
40	185	4329
41	186	4255
42	187	4180
43	189	4107
44	190	4038
45	191	3974
46	192	3908
47	193	3847
48	195	3787
49	196	3729
50	197	3674
51	198	3620
52	204	3648
53	205	3602
54	207	3557
55	208	3513
56	209	3468
57	210	3424
58	212	3384
59	213	3346
60	214	3306
61	216	3267
62	217	3230
63	218	3194
64	219	3162
65	221	3130
66	222	3097
67	223	3057
68	224	3025
69	225	2994
70	226	2965
71	227	2935
72	228	2906
73	229	2877
74	231	2849
75	232	2824
76	233	2801
77	235	2778
78	236	2755
79	237	2731
80	238	2709
81	240	2686
82	241	2666
83	242	2645
84	243	2619
85	244	2598
86	245	2575
87	246	2556
88	247	2536
89	249	2518
90	250	2500
91	251	2482
92	252	2464
93	253	2445
94	254	2428
95	256	2411
96	257	2395
97	258	2379
98	259	2363
99	260	2347
100	262	2332
101	262	2312
102	263	2297
103	265	2285
104	266	2271
105	267	2257
106	268	2243
107	269	2229
108	271	2217
109	272	2204
110	273	2190
111	274	2178
112	276	2166
113	277	2156
114	278	2145
115	280	2134
116	281	2123
117	282	2111
118	283	2100
119	284	2089
120	286	2080
121	287	2071
122	288	2057
123	289	2046
124	290	2036
125	292	2025
126	293	2017
127	294	2005
128	295	1996
129	296	1986
130	298	1977
131	299	1967
132	300	1958
133	301	1948
134	302	1939
135	303	1931
136	305	1922
137	306	1912
138	307	1903
139	308	1895
140	309	1887
141	310	1879
142	315	1891
143	316	1883
144	318	1876
145	320	1873
146	321	1866
147	323	1860
148	324	1854
149	326	1848
150	327	1841
151	328	1833
152	329	1826
153	331	1820
154	332	1814
155	334	1807
156	335	1801
157	337	1796
158	338	1789
159	339	1783
160	340	1776
161	342	1770
162	343	1763
163	344	1757
164	345	1750
165	347	1744
166	348	1738
167	349	1731
168	350	1725
169	352	1720
170	353	1714
171	354	1708
172	356	1702
173	357	1696
174	358	1691
175	359	1685
176	361	1679
177	362	1673
178	363	1667
179	364	1662
180	365	1653
181	366	1648
182	368	1643
183	369	1638
184	370	1633
185	371	1627
186	373	1622
187	374	1617
188	375	1612
189	376	1606
190	378	1601
191	379	1596
192	380	1591
193	381	1586
194	383	1581
195	384	1576
196	385	1572
197	386	1567
198	388	1562
199	389	1557
200	390	1552
201	391	1548
202	393	1543
203	394	1539
204	395	1534
205	396	1530
206	398	1525
207	399	1521
208	400	1516
209	402	1512
210	403	1508
211	404	1504
212	405	1499
213	407	1495
214	408	1491
215	409	1487
216	411	1483
217	412	1480
218	414	1476
219	415	1472
220	416	1468
221	418	1465
222	419	1461
223	420	1457
224	422	1454
225	423	1450
226	424	1446
227	426	1442
228	427	1439
229	428	1435
230	429	1431
231	431	1427
232	432	1424
233	434	1420
234	435	1417
235	436	1413
236	437	1409
237	439	1406
238	440	1403
239	442	1399
240	443	1396
241	444	1392
242	446	1389
243	447	1385
